model,manuscript,seed,decode_tok_s,detected,error,findings_matched,flagged_distractors,fp_on_clean,known_artifact_findings,missed_ids,n_findings,n_seeded,num_ctx,num_predict,numeric_correct,numeric_detected,numeric_total,output_tokens,peak_vram_mib,precision_prefilter,prefill_tok_s,prompt_tokens,recall,think,thinking_chars,ttft_s,unexplained_findings,variant,wall_s
mistral-small,MS-A,42,12.5,3,,4,2,,0,"V01,V02,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V30,V31,V32,V33,V35,V36,V37,V38,V39,V40",9,40,65536,24576,0,0,7,673,20574,0.444,946.2,11865,0.075,,0,26.03,5,a,79.81
mistral-small,MS-A,42,11.4,17,salvaged,261,1,,0,"V01,V02,V04,V09,V12,V14,V15,V16,V18,V20,V21,V22,V24,V25,V26,V30,V31,V32,V33,V36,V37,V38,V39",267,40,65536,24576,0,3,7,24576,20574,0.978,947.9,12055,0.425,,0,20.33,6,b,2185.41
mistral-small,MS-B,42,11.4,,,,0,0,0,,0,,65536,24576,,,,24576,20574,,2195.8,11969,,,0,5.54,,a,2169.13
mistral-small,MS-B,42,11.4,,salvaged,,101,309,2,,311,,65536,24576,,,,24576,20574,,947.7,12159,,,0,12.95,,b,2178.99
nemotron,MS-A,42,4.3,8,,6,0,,0,"V02,V04,V05,V07,V08,V09,V10,V11,V12,V13,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V30,V31,V32,V33,V36,V37,V39,V40",8,40,65536,24576,0,1,7,666,0,0.75,288.6,11523,0.2,,0,84.96,2,a,241.48
nemotron,MS-A,42,4.3,7,,5,0,,0,"V02,V03,V04,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V24,V25,V26,V27,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40",6,40,65536,24576,0,3,7,581,0,0.833,285.4,11713,0.175,,0,90.23,1,b,224.81
nemotron,MS-B,42,4.3,,,,2,9,0,,9,,65536,24576,,,,741,0,,658.3,11569,,,0,17.7,,a,191.92
nemotron,MS-B,42,4.3,,,,0,6,1,,7,,65536,24576,,,,605,0,,664.7,11759,,,0,17.81,,b,158.01
qwen3.5:122b-a10b-q4_K_M,MS-A,42,21.8,21,,20,0,,2,"V01,V02,V04,V09,V10,V12,V13,V14,V16,V17,V21,V25,V26,V30,V31,V36,V38,V39,V40",20,40,32768,16384,2,4,7,11155,83259,1.0,494.7,12104,0.525,,36512,49.64,0,a,576.87
qwen3.5:122b-a10b-q4_K_M,MS-A,42,21.5,31,,29,0,,1,"V02,V09,V16,V20,V25,V26,V32,V37,V38",34,40,65536,24576,3,5,7,9896,84281,0.853,487.6,12304,0.775,,26919,49.64,5,b,522.47
